Compound,MagpieData mean SpaceGroupNumber,MagpieData minimum GSvolume_pa,avg ionic char,MagpieData range MeltingT,MagpieData avg_dev MendeleevNumber,mean_diff_eta,MagpieData maximum CovalentRadius,avg anion electron affinity,MagpieData minimum AtomicWeight,geom-mean_eta_both,Thermo_Dyn_stability_level
NH-PH-Tc,155.6,6.615,0.033257595740577996,2415.99,10.96,9.9,147.0,-118500.0,1.00794,4.66278134660117,5
NH-PH-Te,147.2,6.615,0.027758252504063,708.65,4.24,7.8,138.0,-200700.0,1.00794,4.39241116120497,7
NH-PH-Ti,155.6,6.615,0.049022058077860996,1926.99,14.16,25.1,160.0,-118500.0,1.00794,6.05286616011198,3
NH-PH-W,162.6,6.615,0.024714522693297998,3680.99,11.6,2.6,162.0,-118500.0,1.00794,3.51854106206274,4
NH-PH-Zr,155.6,6.615,0.06083732904199201,2113.99,13.84,20.1,175.0,-118500.0,1.00794,5.6687112960074995,4
NH-S-Ce,163.0,6.615,0.094803062232851,1056.99,27.125,10.95,204.0,-210500.0,1.00794,5.551278011019289,1
NH-S-Ge,170.75,6.615,0.035541470933710996,1197.39,4.75,20.45,120.0,-210500.0,1.00794,6.57261379288213,4
NH-S-Hf,163.0,6.615,0.08118612618406901,2491.99,15.875,24.55,175.0,-210500.0,1.00794,6.92880210174927,1
NH-S-Ir,170.75,6.615,0.027867016860768996,2724.99,10.25,14.85,141.0,-210500.0,1.00794,6.01297193460763,5
NH-S-Mo,171.75,6.615,0.02926580794315,2881.99,14.0,3.75,154.0,-210500.0,1.00794,4.40605227722998,4
NH-S-Os,163.0,6.615,0.027867016860768996,3291.99,11.375,3.35,144.0,-210500.0,1.00794,4.32289928832871,5
NH-S-Pd,170.75,6.615,0.027867016860768996,1814.04,9.5,5.15,139.0,-210500.0,1.00794,4.67489252138354,4
NH-S-Pt,170.75,6.615,0.02543779553379,2027.39,9.125,5.25,136.0,-210500.0,1.00794,4.69294247849899,4
