Compound,mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference,Formation_energy
SH-I-Mn,0.745,5.20582434176888,2.2475,0.265103054644222,15,1.55,1504.99,3.25,2.25,2.77925,0.459619407771256,-0.5375610292
SH-I-Ni,0.565,5.05205615058413,2.3375,0.131184943737157,11.625,1.91,1713.99,3.25,2.25,2.77925,0.205060966544099,-0.2928753617
SH-I-Pb,0.355,5.05205615058413,2.4425,0.051525144774396,4.75,2.2,586.6,3.75,1.75,2.77925,0.091923881554251,-0.3940723942
SH-I-Pd,0.42,4.68991348306721,2.41,0.051525144774396,11.25,2.2,1814.04,3.5,2.25,2.77925,0,-0.0637734692
SH-I-Pt,0.38,4.95098779728933,2.43,0.051525144774396,10.875,2.2,2027.39,3.75,2.25,2.77925,0.056568542494924,0.0704768333
SH-I-Sr,1.045,6.27659917020478,2.0975,0.518584713558295,31.5,0.95,1035.99,3.5,2.25,2.77925,0.883883476483184,-1.3679575068
SH-I-Zn,0.695,5.47187849837942,2.2725,0.225102874709209,8.625,1.65,678.67,3.25,2.25,2.77925,0.388908729652601,-0.3778937818
SH-NC-Ba,0.93,6.56844440975811,2.252,0.685139312535294,24.24,0.89,3808.99,2.8,1.44,4.1976,0.875042856093346,-0.6271415474
SH-NC-Be,0.703333333333333,11.4499195916119,2.388,0.417382851233086,7.36,1.57,3808.99,2,1.44,4.1976,0.496621921921831,0.1813858646
SH-NC-Ca,0.893333333333333,7.58370237976427,2.274,0.646686671641399,24.88,1,3808.99,2.4,1.44,4.1976,0.812916559883813,-0.5894464374
SH-NC-Cd,0.663333333333333,6.109489842339,2.412,0.365948438141932,6.64,1.69,3808.99,2.6,1.44,4.1976,0.432473505932252,0.2059877546
SH-NC-Co,0.6,5.66235581405587,2.45,0.285662686264043,9.52,1.88,3808.99,2.4,1.44,4.1976,0.335111921602321,0.3539131546
SH-NC-Cu,0.593333333333333,5.68528058152494,2.454,0.277400390009806,8.08,1.9,3808.99,2.4,1.44,4.1976,0.325320354932386,0.5306637866
SH-NC-Fe,0.616666666666667,5.4471185284276,2.44,0.306514536143557,10.24,1.83,3808.99,2.4,1.44,4.1976,0.360046293319808,0.3207671866
SH-NC-Mg,0.79,8.96094185199064,2.336,0.526794252062466,7.12,1.31,3808.99,2.2,1.44,4.1976,0.639296488336984,-0.2595732134
SH-NC-Mn,0.71,5.90500389433249,2.384,0.425942090430698,10.96,1.55,3808.99,2.4,1.44,4.1976,0.507444578254611,0.2986136506
SH-NC-Ni,0.59,5.73058353203079,2.456,0.273287979294598,8.8,1.91,3808.99,2.4,1.44,4.1976,0.320468407179241,0.2786566686
SH-NCO-Ba,1.14,5.99228638390036,2.45,0.803211356141508,21.1666666666667,0.89,3808.99,2.66666666666667,1.5,3.498,0.875042856093346,-1.0491728145
SH-NCO-Be,0.913333333333333,10.4455778241255,2.56333333333333,0.582814787035019,6.83333333333333,1.57,3808.99,2,1.5,3.498,0.496621921921831,-0.4786850612
SH-NCO-Ca,1.10333333333333,6.91848993078221,2.46833333333333,0.774266459580783,21.7222222222222,1,3808.99,2.33333333333333,1.5,3.498,0.812916559883813,-1.0547035578
